,exchangeCD,calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
181,XSHG,2020-09-29,1,2020-09-28,0,0,0,0
182,XSHG,2020-09-30,1,2020-09-29,1,1,1,0
183,XSHG,2020-10-09,1,2020-09-30,1,0,0,0
184,XSHG,2020-10-12,1,2020-10-09,0,0,0,0
185,XSHG,2020-10-13,1,2020-10-12,0,0,0,0
186,XSHG,2020-10-14,1,2020-10-13,0,0,0,0
187,XSHG,2020-10-15,1,2020-10-14,0,0,0,0
188,XSHG,2020-10-16,1,2020-10-15,1,0,0,0
189,XSHG,2020-10-19,1,2020-10-16,0,0,0,0
190,XSHG,2020-10-20,1,2020-10-19,0,0,0,0
191,XSHG,2020-10-21,1,2020-10-20,0,0,0,0
192,XSHG,2020-10-22,1,2020-10-21,0,0,0,0
193,XSHG,2020-10-23,1,2020-10-22,1,0,0,0
194,XSHG,2020-10-26,1,2020-10-23,0,0,0,0
195,XSHG,2020-10-27,1,2020-10-26,0,0,0,0
196,XSHG,2020-10-28,1,2020-10-27,0,0,0,0
197,XSHG,2020-10-29,1,2020-10-28,0,0,0,0
198,XSHG,2020-10-30,1,2020-10-29,1,1,0,0
199,XSHG,2020-11-02,1,2020-10-30,0,0,0,0
200,XSHG,2020-11-03,1,2020-11-02,0,0,0,0
201,XSHG,2020-11-04,1,2020-11-03,0,0,0,0
202,XSHG,2020-11-05,1,2020-11-04,0,0,0,0
203,XSHG,2020-11-06,1,2020-11-05,1,0,0,0
204,XSHG,2020-11-09,1,2020-11-06,0,0,0,0
205,XSHG,2020-11-10,1,2020-11-09,0,0,0,0
206,XSHG,2020-11-11,1,2020-11-10,0,0,0,0
207,XSHG,2020-11-12,1,2020-11-11,0,0,0,0
208,XSHG,2020-11-13,1,2020-11-12,1,0,0,0
209,XSHG,2020-11-16,1,2020-11-13,0,0,0,0
210,XSHG,2020-11-17,1,2020-11-16,0,0,0,0
211,XSHG,2020-11-18,1,2020-11-17,0,0,0,0
212,XSHG,2020-11-19,1,2020-11-18,0,0,0,0
213,XSHG,2020-11-20,1,2020-11-19,1,0,0,0
214,XSHG,2020-11-23,1,2020-11-20,0,0,0,0
215,XSHG,2020-11-24,1,2020-11-23,0,0,0,0
216,XSHG,2020-11-25,1,2020-11-24,0,0,0,0
217,XSHG,2020-11-26,1,2020-11-25,0,0,0,0
218,XSHG,2020-11-27,1,2020-11-26,1,0,0,0
219,XSHG,2020-11-30,1,2020-11-27,0,1,0,0
220,XSHG,2020-12-01,1,2020-11-30,0,0,0,0
221,XSHG,2020-12-02,1,2020-12-01,0,0,0,0
222,XSHG,2020-12-03,1,2020-12-02,0,0,0,0
223,XSHG,2020-12-04,1,2020-12-03,1,0,0,0
224,XSHG,2020-12-07,1,2020-12-04,0,0,0,0
225,XSHG,2020-12-08,1,2020-12-07,0,0,0,0
226,XSHG,2020-12-09,1,2020-12-08,0,0,0,0
227,XSHG,2020-12-10,1,2020-12-09,0,0,0,0
228,XSHG,2020-12-11,1,2020-12-10,1,0,0,0
229,XSHG,2020-12-14,1,2020-12-11,0,0,0,0
230,XSHG,2020-12-15,1,2020-12-14,0,0,0,0
231,XSHG,2020-12-16,1,2020-12-15,0,0,0,0
232,XSHG,2020-12-17,1,2020-12-16,0,0,0,0
233,XSHG,2020-12-18,1,2020-12-17,1,0,0,0
234,XSHG,2020-12-21,1,2020-12-18,0,0,0,0
235,XSHG,2020-12-22,1,2020-12-21,0,0,0,0
236,XSHG,2020-12-23,1,2020-12-22,0,0,0,0
237,XSHG,2020-12-24,1,2020-12-23,0,0,0,0
238,XSHG,2020-12-25,1,2020-12-24,1,0,0,0
239,XSHG,2020-12-28,1,2020-12-25,0,0,0,0
240,XSHG,2020-12-29,1,2020-12-28,0,0,0,0
241,XSHG,2020-12-30,1,2020-12-29,0,0,0,0
242,XSHG,2020-12-31,1,2020-12-30,1,1,1,1
