iner_ip,机房,资产编号,资产类别,机柜,U位置,机器型号,SN号,节点,状态,系统,互联网,高速交易,高速行情A,高速行情B,,,,
10.188.82.51,宛平路机房,,,E05,U25-26,HP DL380 Gen10,CN79170DSF,4号节点,共用,centos7.6,10.188.106.228,,,,,,,
10.188.82.52,宛平路机房,,,E05,U23-24,先智达RS2U-X299,20191101AZ001,4号节点,共用,redhat7.6,10.188.106.229,,,,,,,
10.188.82.53,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,centos7.6,10.188.106.230,,,,,,,
10.188.82.54,宛平路机房,,,E06,U31-32,IBM System X3650 M4,06FRLBZ,4号节点,可共用,windows2008,10.188.106.231,,,,,,,
10.188.82.55,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Ubuntu18.04,10.188.106.232,,,,,,,
10.188.82.56,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Ubuntu18.04,10.188.106.233,,,,,,,
10.188.82.57,宛平路机房,,,E04,U21（U20）,Dell R630,DWKGF42,4号节点,,Centos7.4,10.188.106.234,,,,,,,
10.188.82.58,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,windows2012,10.188.106.235,,,,,,,
10.188.82.59,宛平路机房,,,F03,U23-25,IACIA,’417070400549,4号节点,,Ubuntu 16.04,10.188.106.236,,,,,,,
10.188.82.60,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Windows2016,10.188.106.237,,,,,,,
10.188.82.63,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Cenots7.4,10.188.106.206,,,,,,,
10.188.82.64,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,windows2012,10.188.106.205,,,,,,,
10.188.82.65,宛平路机房,,,F03,U15,ThinkServer 8871,J332MG7,4号节点,,ubuntu18.04,10.188.106.204,,,,,,,
10.188.82.66,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,centos7.5,10.188.106.203,,,,,,,
10.188.82.67,宛平路机房,,,F04,U25-26,Dell R740,CVMFG13,4号节点,,ubuntu18.04,10.188.106.131,,,,,,,
10.188.82.68,宛平路机房,,,F04,U35-36,Dell R740,6L6ZJ13,4号节点,,Windows2016,10.188.106.132,,,,,,,
10.188.82.69,宛平路机房,,,F04,U32-33,Dell R740,6L5ZJ13,4号节点,,Windows2016,10.188.106.133,,,,,,,
10.188.82.70,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Windows2016,10.188.106.135,,,,,,,
10.188.82.71,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Windows2016,10.188.106.136,,,,,,,
10.188.82.72,宛平路机房,,虚拟机,虚拟机,,,,4号节点,空闲,ubuntu-18.04.3,10.188.106.137,,,,,,,
10.188.82.73,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,win10,10.188.106.138,,,,,,,
10.188.82.74,宛平路机房,,,F03,U33-34,Dell R730xd,B88TH42,4号节点,,Centos7.7,10.188.106.139,,,,,,,
10.188.82.75,宛平路机房,,,F03,U26-27,Dell R730xd,GLR0C72,4号节点,,Centos7.7,10.188.106.140,,,,,,,
10.188.82.76,宛平路机房,,,F03,U35-36,Dell R730xd,GKQRF62,4号节点,,Centos7.7,10.188.106.141,,,,,,,
10.188.82.77,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Centos7.6,10.188.106.142,,,,,,,
10.188.82.78,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,ubuntu 18.04.4,10.188.106.143,,,,,,,
10.188.82.79,宛平路机房,,,F04,U20,ThinkSystem Lenovo SR630,J301PN95,4号节点,,Windows2016,10.188.104.170,,,,,,,
10.188.82.80,宛平路机房,,,F04,U13,ThinkSystem Lenovo SR630,J301PLY9,4号节点,,Centos7.6,10.188.104.171,,,,,,,
10.188.82.81,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Redhat7.4,10.188.104.172,,,,,,,
10.188.82.82,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Centos7.6,10.188.104.173,,,,,,,
10.188.82.83,宛平路机房,,虚拟机,虚拟机,,,,4号节点,回收,Ubuntu Server 18.04,10.188.104.174,,,,,,,
10.188.82.84,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Windows2012,10.188.104.175,,,,,,,
10.188.82.85,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Windows2016,10.188.104.176,,,,,,,
10.188.82.86,宛平路机房,,虚拟机,虚拟机,,,,4号节点,回收,Windows2016,10.188.104.177,,,,,,,
10.188.82.87,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,CenOS 7.5,10.188.104.178,,,,,,,
10.188.82.88,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Windows2012,10.188.104.179,,,,,,,
10.188.82.89,宛平路机房,,虚拟机,虚拟机,,,,4号节点,回收,Centos7.6,10.188.104.180,,,,,,,
10.188.82.90,宛平路机房,,,F02,U31-32,Dell R740,5D99BX2,4号节点,,Centos7.6,10.188.104.181,,,,,,,
10.188.82.91,宛平路机房,,,F03,U30-31,HP DL388 Gen10,6CU8411YH6,4号节点,,Centos7.6,10.188.104.182,,,,,,,
10.188.82.92,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Windows2012,10.188.104.183,,,,,,,
10.188.82.95,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Centos7.6,10.188.104.188,,,,,,,
10.188.82.96,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Windows2016,10.188.104.189,,,,,,,
10.188.82.97,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,windows2008,10.188.104.190,,,,,,,
10.188.82.98,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Centos7.6,10.188.104.191,,,,,,,
10.188.82.99,宛平路机房,,虚拟机,虚拟机,,,,4号节点,,Redhat7.4,10.188.104.192,,,,,,,
10.188.82.100,宛平路机房,,,E04,U26-27,Dell R730,5G691L2,4号节点,,Windows2012,10.188.104.195,,,,,,,
10.188.82.101,宛平路机房,,,E04,U24-25,Dell R730,5729YK2,4号节点,,Windows2012,10.188.104.196,,,,,,,
10.188.82.102,宛平路机房,,,F03,U16-17,朴赛PH290,‘200110571,4号节点,,Ubuntu20.04,10.188.104.197,,,,,,,
10.188.82.103,宛平路机房,,,F02,U35,Dell R240,17QDD43,4号节点,,Windows2016,10.188.104.198,,,,,,,
10.188.82.104,宛平路机房,,,F09,U25,联想R510,'0005810678,4号节点,,Windows2016,10.188.104.199,,,,,,,
10.188.82.105,宛平路机房,,,F09,U26,DELL R410,57S9Q2X,4号节点,,Windows2012,10.188.104.221,,,,,,,
10.188.82.106,宛平路机房,,,F09,U30,Dell R240,78J5Y23,4号节点,,Windows2019,10.188.104.222,,,,,,,
10.188.82.107,宛平路机房,,,E03,U23,Hp DL20 Gen10,CN79270947,4号节点,共用,Ubuntu16.04.6,10.188.104.223,,,,,,,
10.188.82.109,宛平路机房,,,E08,U30-31,Dell R740,C9NHD43,4号节点,,Ubuntu 16.04,10.188.104.225,,,,,,,
10.188.82.110,宛平路机房,,,F05,U8-9,Dell R740,C9P2D43,4号节点,,Centos 7.6,10.188.104.226,,,,,,,
10.188.82.111,宛平路机房,,,E09,U10-11,DELL R740,BT03D33,4号节点,,Windows service 2019,10.188.104.227,,,,,,,
10.188.82.112,宛平路机房,,,E09,U26-27,DELL R740,BSY8D33,4号节点,,Centos 7.6,10.188.104.228,,,,,,,
10.188.82.113,宛平路机房,,,E08,U32,Dell R340,10P5D33,4号节点,,Windows service 2019,10.188.104.229,,,,,,,
10.188.82.114,宛平路机房,,,E05,U32,Dell R640,44BNJ23,4号节点,,Centos7.8,10.188.104.230,,,,,,,
10.188.82.115,宛平路机房,,,E05,U30,Dell R640,7LW6D43,4号节点,,Centos7.8,10.188.104.231,,,,,,,
10.188.82.116,宛平路机房,,,E03,U26,Dell R240,7RG9Y23,4号节点,,Centos7.5,10.188.104.232,,,,,,,
10.188.82.117,宛平路机房,,,E07,U26-27,Dell R740,H6DDD43,4号节点,,Windows 2016,10.188.104.233,,,,,,,
10.188.82.118,宛平路机房,,,E04,U33-34,Dell R740,BW6BC43,4号节点,,Centos7.6,10.188.104.234,,,,,,,
10.188.82.119,宛平路机房,,,F10,U10-11,Dell R740,1MZTGZ2,4号节点,实体机,Windows 2012,10.188.104.235,,,,,,,
10.188.82.120,宛平路机房,,,新机柜1,U16-17,Dell R740,J2M9743,4号节点,,Windows 2019,10.188.104.236,,,,,,,
10.188.82.121,宛平路机房,,虚拟机,虚拟机,,,,4号节点,虚拟机,SUSE Linux Enterprise 11 sp3,10.188.104.237,,,,,,,
10.188.82.122,宛平路机房,,,新机柜1,U25-26,Dell R740,5Y9PXP2,4号节点,实体机,SUSE Linux Enterprise 11 sp3,10.188.104.238,,,,,,,
10.188.82.123,宛平路机房,,,新机柜1,U22-23,嘉兴科技003,JX2020081707001,4号节点,,Windows 2016,10.188.104.239,,,,,,,
10.188.82.124,宛平路机房,,,新机柜1,U28,HP DL360 Gen10,CN70240C9C,4号节点,,Centos 7.6,10.188.104.240,,,,,,,
10.188.82.125,宛平路机房,,,新机柜3,U28,R340,53QBD53,4号节点,,Windows 2016,10.188.104.241,,,,,,,
10.188.82.126,宛平路机房,,,新机柜1,U20,Tecal RH1288 V2,98RHEH17223-001,4号节点,,Ubuntu 16.04,10.188.104.243,,,,,,,
10.188.82.127,宛平路机房,,,新机柜1,U14-15,DELL R740,COS5V53,4号节点,,Windows 2012,10.188.104.244,,,,,,,
10.188.82.128,宛平路机房,,,新机柜1,U29,Dell R440,9HVPM63,4号节点,,Windows 2016,10.188.104.245,,,,,,,
10.188.82.129,宛平路机房,,,新机柜3,U26-27,DELL R740,6YSXJ53,4号节点,,Centos 7.6,10.188.104.246,,,,,,,
192.168.10.183,南方中心机房,,,304-N07,U25-26,Dell R730,39L9RH2,9号节点,,Centos7.6,10.20.80.216,10.224.124.252,172.16.34.183,172.16.22.183,,,,
192.168.10.182,南方中心机房,,,304-N07,U15-16,DELL R740,HRKH823,9号节点,,Arch Linux,10.20.80.215,10.224.124.251,,172.16.22.182,,,,
192.168.253.172,宁桥路机房,,,I3-11,U23-24,DELL R740,FDVFS63,3号节点,,CentOS 7.6,10.20.253.172,220.89.121.86,,,,,,
10.188.82.130,宛平路机房,,,新机柜3,U17-18,联想 SR650,J302CGB3,4号节点,,Windows 2012,10.188.104.247,,,,,,,
192.168.253.173,宁桥路机房,,,I3-10,U21-22,联想 SR650,J302CGB2,3号节点,,Windows 2016,10.20.253.173,220.89.121.87,,,,,,
192.168.10.187,南方中心机房,,,304-N08,U14-15,HP DL380,CN70250272,9号节点,,CentOS 7.6,,10.224.124.223,,172.16.22.187,,,,
192.168.10.188,南方中心机房,,,304-N08,U11-12,Dell R740,9832D33,9号节点,,CentOS 7.4,10.20.80.221,10.224.124.210,,172.16.22.188,,,,
