iner_ip,机房,资产编号,资产类别,机柜,U位置,机器型号,SN号,节点,状态,系统,互联网,高速交易,高速行情A,高速行情B,,,,
192.168.253.225,宁桥路机房,,,I3-20,U31-32,Lenovo X3650 M4,06HCMKH,3号节点,,Centos7.6,10.20.253.225,220.89.121.32,,,,,,
192.168.253.236,宁桥路机房,,,I3-20,U21-22,先智达RS2U-X299/W,20200103AZ001,3号节点,,centos7.6,10.20.253.236,220.89.121.50,,,,,,
192.168.253.232,宁桥路机房,,,I3-20,U19-20,HP? DL380Gen10,CN79380DHC,3号节点,,centos7.6,10.20.253.232,220.89.121.46,,,,,,
192.168.253.237,宁桥路机房,,,I3-21,U19-20,宝德PR2620P,PR2620P1910280007,3号节点,,centos7.6,10.20.253.237,220.89.121.51,,,,,,
192.168.253.139,宁桥路机房,,,I3-20,U41-42,Dell R730,1Y20WL2,3号节点,,centos7.4,10.20.253.139,220.89.121.53,,,,,,
192.168.253.140,宁桥路机房,,,I3-20,U15-16,Dell R730,GSLFDC2,3号节点,,centos7.7,10.20.253.140,220.89.121.54,,,,,,
192.168.253.141,宁桥路机房,,,I3-19,U27-28,HP DL380 Gen9,6CU525VR47,3号节点,,centos7.7,10.20.253.141,220.89.121.55,,,,,,
192.168.253.142,宁桥路机房,,,I3-21,U9-10,Dell R740,6LY2Y23,3号节点,,windows2016,10.20.253.142,220.89.121.56,,,,,,
192.168.253.143,宁桥路机房,,,I3-20,U13-14,先智达 rs2u-x299/w,20200312AZ0034,3号节点,,Centos7.6,10.20.253.143,220.89.121.57,,,,,,
192.168.253.144,宁桥路机房,,,I3-20,U11,XENON RX980li,17336-IS08N3738,3号节点,,Centos7.5,10.20.253.144,220.89.121.58,,,,,,
192.168.253.145,宁桥路机房,,,I3-20,U7-8,Dell R740,9821D33,3号节点,,Centos7.6,10.20.253.145,220.89.121.59,,,,,,
192.168.253.146,宁桥路机房,,,I3-9,U15-16,Tensend-HFT-91246F,BX18C2020040302,3号节点,,Centos7.6,10.20.253.146,220.89.121.60,,,,,,
192.168.253.206,宁桥路机房,,,I3-10,U28-29,HP DL 380,6CU82478BM,3号节点,,windows,已插线,220.89.121.13,,,,,,
192.168.253.150,宁桥路机房,,,I3-10,U31-32,Dell R740,5CMJB43,3号节点,,Centos7.6,10.20.253.150,220.89.121.64,,,,,,
192.168.253.152,宁桥路机房,,,I3-10,U23-24,Dell R730,（9200JB2 ）C673BC2,3号节点,,debian8,10.20.253.152,220.89.121.66,,,,,,
192.168.253.153,宁桥路机房,,,I3-9,U29-30,Dell R740,CHQ9D43,3号节点,,Centos7.6,10.20.253.153,220.89.121.67,,,,,,
192.168.253.155,宁桥路机房,,,I3-9,U31-32,Dell R730,4YXFLN2,3号节点,,Centos7.6,10.20.253.155,220.89.121.69,,,,,,
192.168.253.156,宁桥路机房,,,I3-19,U5,Dell R440,J0L16V2,3号节点,,Centos7.6,10.20.253.156,220.89.121.70,,,,,,
192.168.253.159,宁桥路机房,,,I3-9,U28,Dell R340,87Q6D53,3号节点,,windows2016,10.20.253.159,220.89.121.73,,,,,,
192.168.253.160,宁桥路机房,,,I3-9,U26-27,Tm2208-g2,XW20200703AZ003XX01,3号节点,,centos 7.6,10.20.253.160,220.89.121.74,,,,,,
192.168.253.161,宁桥路机房,,,I3-9,U21-22,嘉兴科技007,JX2020071607002,3号节点,,centos 7.6,10.20.253.161,220.89.121.75,,,,,,
192.168.253.163,宁桥路机房,,,I3-9,U18,Dell R240,7RQ6Y23,3号节点,,windows2016,10.20.253.163,220.89.121.77,,,,,,
192.168.253.164,宁桥路机房,,,I3-11,U38-39,Tensend HTF-91246F,TS14C2020081512,3号节点,,Centos7.6,10.20.253.164,220.89.121.78,,,,,,
192.168.253.165,宁桥路机房,,,I3-11,U23,IBM System X3550 M4,7914OX1,3号节点,,Centos7.8,10.20.253.165,220.89.121.79,,,,,,
192.168.253.166,宁桥路机房,,,I3-11,U33-34,正睿ZI1C6S9-12898RH,S28B08154911,3号节点,,Centos7.8,10.20.253.166,220.89.121.80,,,,,,
192.168.253.167,宁桥路机房,,,I3-11,U31-32,嘉兴科技007,JX2020082407005,3号节点,,Centos7.6,10.20.253.167,220.89.121.81,,,,,,
192.168.253.168,宁桥路机房,,,I3-11,U27-28,HP 380 gen10,6CU811B5M5,3号节点,,Ubuntu 18.04.5,10.20.253.168,220.89.121.82,,,,,,
192.168.253.169,宁桥路机房,,,I3-11,U41,HP DL20,CN79270943,3号节点,,Centos7.6,10.20.253.169,220.89.121.83,,,,,,
192.168.253.170,宁桥路机房,,,I3-21,U33-34,HP DL388,CN79430QHQ,3号节点,,Windows2012,10.20.253.170,220.89.121.84,,,,,,
192.168.253.171,宁桥路机房,,,I3-11,U25-26,HP DL380,CN70370RMJ,3号节点,,Ubuntu 18.04.5,10.20.253.171,220.89.121.85,,,,,,
192.168.253.58,南方中心机房,,,212-G16,U23,IBM X3550M5,J32N8WD,2号节点,,Windows 2018,10.20.80.58,10.224.78.57,,,,,,
192.168.253.52,南方中心机房,,,212-G16,U10,IBM X3250M6,J339WW2,2号节点,可回收,Windows 2012,10.20.80.52,10.224.78.55,,,,,,
192.168.10.164,南方中心机房,,,304-N06,U5-6,腾闪 ts-313,58BFAE89,9号节点,,CentOS 7.6,10.20.80.75,10.224.124.250,,172.16.22.164,,,,
192.168.253.60,南方中心机房,,,212-H01,U22-23,Thinksystem sr630,J300ZPFT,2号节点,,Redhat 7.3,10.20.80.60,10.224.78.43,,,,,,
192.168.10.185,南方中心机房,,,304-N07,U18-19,HP 380 G10,6CU8259C4X,9号节点,,CentOS 6.9,,10.224.124.221,,,,,,
192.168.253.69,南方中心机房,,,212-H04,U15,IBM X3550 M5,J320HCF,2号节点,,Redhat 6.6,10.20.80.204,10.224.78.40,,,,,,
192.168.253.73,南方中心机房,,,212-H04,U38,IBM X3550 M5,J32N8WA,2号节点,,CentOS 7.3,10.20.80.73,10.224.78.2,,,,,,
192.168.253.74,南方中心机房,,,212-H02,U17-18,DELL R540,GOH8DN2,2号节点,,CentOS 7.4,10.20.80.74,10.224.78.3,,,,,,
192.168.10.163,南方中心机房,,,304-N06,U2-3,网烁 NR2008,B591FDC1,9号节点,,CentOS 7.6,10.20.80.69,10.224.124.249,,172.16.22.163,,,,
192.168.253.78,南方中心机房,,,212-H01,U14-15,嘉兴科技 4u-61,RM23608,2号节点,,CentOS 7.8,10.20.80.19,10.224.78.9/26,,,,,,
192.168.10.64,南方中心机房,,,304-M06,U16-17,hp 380 G10,6CU8259C5M,5号节点,,Windows 2012,10.20.80.164,10.224.123.36,172.16.34.64,,,,,
192.168.10.65,南方中心机房,,,304-M06,U13-14,DELL R740,dv4vg03,5号节点,,CentOS 7.6,10.20.80.165,10.224.123.37,172.16.34.65,,,,,
192.168.10.66,南方中心机房,,,304-M07,U15,lenovo sr630,j300ZFTB,5号节点,,CentOS,,,,,,,,
192.168.10.68,南方中心机房,,,304-M07,U21,HP DL20-G10,CN79270945,5号节点,,CentOS 7.6,10.20.80.168,10.224.123.40,172.16.34.68,,,,,
